
SetupTitle, TB_IdVg
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, Vbg
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, -100
TestParameter, Output.Graph.XAxis.Right, 100
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, false
TestParameter, Output.Graph.YAxis.Data, IDrain
TestParameter, Output.Graph.YAxis.Scale, Linear
TestParameter, Output.Graph.YAxis.Bottom, 5E-06
TestParameter, Output.Graph.YAxis.Top, 5E-05
TestParameter, Output.Graph.YAxis.Group, 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 11/05/2019 09:38:23
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 3
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 28888981-8ac3-42a4-84a7-c3514b99fde9
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Vbg
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, false
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -100
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 100
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, IDrain
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 5.3E-06
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 4E-05
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.63976945244956773
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.63976945244956773
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.63976945244956773
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.63976945244956773
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.63976945244956773
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU2:MP, Name=Vbg, Direction=Double, Linear/Log=LINEAR, Start=-100 V, Stop=100 V, Step=1 V, No. of Steps=201, Compliance=100 uA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU1:MP, Name=Drain, Source Mode=V, Source=50 mV, Compliance=100 uA	[CONSTANTS] Unit=SMU3:MP, Name=Source, Source Mode=V, Source=0 V, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	0.5	5
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, TB_IdVg
Dimension1, 402, 402
Dimension2, 1, 1
DataName, Vbg, IDrain
DataValue, -100, 3.9904E-05
DataValue, -99, 3.9580000000000004E-05
DataValue, -98, 3.9292E-05
DataValue, -97, 3.9024000000000004E-05
DataValue, -96, 3.8748E-05
DataValue, -95, 3.8502E-05
DataValue, -94, 3.8236000000000005E-05
DataValue, -93, 3.7998000000000004E-05
DataValue, -92, 3.7732000000000004E-05
DataValue, -91, 3.7496E-05
DataValue, -90, 3.726E-05
DataValue, -89, 3.7028E-05
DataValue, -88, 3.6798E-05
DataValue, -87, 3.656E-05
DataValue, -86, 3.6326000000000004E-05
DataValue, -85, 3.6086E-05
DataValue, -84, 3.5864E-05
DataValue, -83, 3.5608E-05
DataValue, -82, 3.5368000000000004E-05
DataValue, -81, 3.5146E-05
DataValue, -80, 3.4902E-05
DataValue, -79, 3.4678E-05
DataValue, -78, 3.444E-05
DataValue, -77, 3.4206000000000004E-05
DataValue, -76, 3.3978E-05
DataValue, -75, 3.374E-05
DataValue, -74, 3.3494E-05
DataValue, -73, 3.325E-05
DataValue, -72, 3.3010000000000004E-05
DataValue, -71, 3.2772000000000004E-05
DataValue, -70, 3.2518E-05
DataValue, -69, 3.2274E-05
DataValue, -68, 3.2026E-05
DataValue, -67, 3.1768E-05
DataValue, -66, 3.1526E-05
DataValue, -65, 3.1270000000000004E-05
DataValue, -64, 3.1006E-05
DataValue, -63, 3.0760000000000004E-05
DataValue, -62, 3.0508E-05
DataValue, -61, 3.0252E-05
DataValue, -60, 2.9992E-05
DataValue, -59, 2.9728E-05
DataValue, -58, 2.9462E-05
DataValue, -57, 2.92E-05
DataValue, -56, 2.8946E-05
DataValue, -55, 2.868E-05
DataValue, -54, 2.841E-05
DataValue, -53, 2.813E-05
DataValue, -52, 2.7856000000000002E-05
DataValue, -51, 2.7582E-05
DataValue, -50, 2.7314E-05
DataValue, -49, 2.7028E-05
DataValue, -48, 2.6754E-05
DataValue, -47, 2.6474E-05
DataValue, -46, 2.6192E-05
DataValue, -45, 2.5892000000000002E-05
DataValue, -44, 2.561E-05
DataValue, -43, 2.5308000000000002E-05
DataValue, -42, 2.5026E-05
DataValue, -41, 2.4726E-05
DataValue, -40, 2.4426E-05
DataValue, -39, 2.4126000000000002E-05
DataValue, -38, 2.3828E-05
DataValue, -37, 2.3512E-05
DataValue, -36, 2.3212E-05
DataValue, -35, 2.2898E-05
DataValue, -34, 2.2590000000000002E-05
DataValue, -33, 2.2278E-05
DataValue, -32, 2.197E-05
DataValue, -31, 2.1654E-05
DataValue, -30, 2.1338E-05
DataValue, -29, 2.1008E-05
DataValue, -28, 2.0694000000000002E-05
DataValue, -27, 2.0368000000000002E-05
DataValue, -26, 2.0034E-05
DataValue, -25, 1.9702000000000002E-05
DataValue, -24, 1.9364E-05
DataValue, -23, 1.9032E-05
DataValue, -22, 1.8698E-05
DataValue, -21, 1.8354E-05
DataValue, -20, 1.8010000000000002E-05
DataValue, -19, 1.7670000000000002E-05
DataValue, -18, 1.7326E-05
DataValue, -17, 1.6966E-05
DataValue, -16, 1.6618E-05
DataValue, -15, 1.6270000000000002E-05
DataValue, -14, 1.5914E-05
DataValue, -13, 1.5554E-05
DataValue, -12, 1.5198000000000001E-05
DataValue, -11, 1.484E-05
DataValue, -10, 1.4478000000000001E-05
DataValue, -9, 1.4116E-05
DataValue, -8, 1.375E-05
DataValue, -7, 1.3376E-05
DataValue, -6, 1.3006E-05
DataValue, -5, 1.2636E-05
DataValue, -4, 1.2260000000000001E-05
DataValue, -3, 1.1892E-05
DataValue, -2, 1.152E-05
DataValue, -1, 1.1146E-05
DataValue, 0, 1.0758000000000001E-05
DataValue, 1, 1.0372E-05
DataValue, 2, 1.0014300000000002E-05
DataValue, 3, 9.6363000000000012E-06
DataValue, 4, 9.2579000000000016E-06
DataValue, 5, 8.8997E-06
DataValue, 6, 8.5419E-06
DataValue, 7, 8.2027E-06
DataValue, 8, 7.8665E-06
DataValue, 9, 7.5485000000000007E-06
DataValue, 10, 7.2453000000000007E-06
DataValue, 11, 6.9655000000000005E-06
DataValue, 12, 6.7103000000000008E-06
DataValue, 13, 6.4756E-06
DataValue, 14, 6.2690000000000005E-06
DataValue, 15, 6.0807000000000009E-06
DataValue, 16, 5.9169000000000009E-06
DataValue, 17, 5.7741E-06
DataValue, 18, 5.6605E-06
DataValue, 19, 5.5684000000000008E-06
DataValue, 20, 5.4957000000000006E-06
DataValue, 21, 5.4437000000000009E-06
DataValue, 22, 5.4007000000000007E-06
DataValue, 23, 5.3724000000000004E-06
DataValue, 24, 5.3553E-06
DataValue, 25, 5.3494000000000008E-06
DataValue, 26, 5.3566000000000005E-06
DataValue, 27, 5.3731E-06
DataValue, 28, 5.3949000000000006E-06
DataValue, 29, 5.4188000000000005E-06
DataValue, 30, 5.4458000000000004E-06
DataValue, 31, 5.4767000000000004E-06
DataValue, 32, 5.5151000000000008E-06
DataValue, 33, 5.5567000000000005E-06
DataValue, 34, 5.601E-06
DataValue, 35, 5.6479000000000006E-06
DataValue, 36, 5.6903E-06
DataValue, 37, 5.7340000000000005E-06
DataValue, 38, 5.7803E-06
DataValue, 39, 5.8305E-06
DataValue, 40, 5.8794000000000008E-06
DataValue, 41, 5.9322000000000006E-06
DataValue, 42, 5.983000000000001E-06
DataValue, 43, 6.0300000000000007E-06
DataValue, 44, 6.0785E-06
DataValue, 45, 6.1227000000000007E-06
DataValue, 46, 6.1754E-06
DataValue, 47, 6.2250000000000005E-06
DataValue, 48, 6.2775000000000005E-06
DataValue, 49, 6.3231000000000005E-06
DataValue, 50, 6.3708000000000009E-06
DataValue, 51, 6.4178000000000006E-06
DataValue, 52, 6.4646000000000008E-06
DataValue, 53, 6.5109000000000006E-06
DataValue, 54, 6.5591000000000004E-06
DataValue, 55, 6.608400000000001E-06
DataValue, 56, 6.6532000000000009E-06
DataValue, 57, 6.6979000000000007E-06
DataValue, 58, 6.7389000000000008E-06
DataValue, 59, 6.7839E-06
DataValue, 60, 6.8322E-06
DataValue, 61, 6.8747000000000004E-06
DataValue, 62, 6.9231000000000007E-06
DataValue, 63, 6.9620000000000004E-06
DataValue, 64, 7.002800000000001E-06
DataValue, 65, 7.0397000000000005E-06
DataValue, 66, 7.0842000000000007E-06
DataValue, 67, 7.1223E-06
DataValue, 68, 7.1668000000000006E-06
DataValue, 69, 7.2094000000000008E-06
DataValue, 70, 7.2472000000000007E-06
DataValue, 71, 7.2817000000000009E-06
DataValue, 72, 7.3171000000000006E-06
DataValue, 73, 7.3587E-06
DataValue, 74, 7.3982000000000006E-06
DataValue, 75, 7.4383000000000004E-06
DataValue, 76, 7.4736000000000007E-06
DataValue, 77, 7.5091000000000007E-06
DataValue, 78, 7.5391E-06
DataValue, 79, 7.5683000000000009E-06
DataValue, 80, 7.606600000000001E-06
DataValue, 81, 7.643700000000001E-06
DataValue, 82, 7.6806E-06
DataValue, 83, 7.7126000000000013E-06
DataValue, 84, 7.744900000000001E-06
DataValue, 85, 7.7743000000000011E-06
DataValue, 86, 7.8021000000000011E-06
DataValue, 87, 7.8354000000000012E-06
DataValue, 88, 7.8701000000000011E-06
DataValue, 89, 7.9001E-06
DataValue, 90, 7.9316E-06
DataValue, 91, 7.9607000000000016E-06
DataValue, 92, 7.9874E-06
DataValue, 93, 8.0086000000000016E-06
DataValue, 94, 8.0444E-06
DataValue, 95, 8.0728E-06
DataValue, 96, 8.1004000000000013E-06
DataValue, 97, 8.1252000000000014E-06
DataValue, 98, 8.1515000000000015E-06
DataValue, 99, 8.178300000000001E-06
DataValue, 100, 8.2004E-06
DataValue, 100, 8.1518E-06
DataValue, 99, 8.0191000000000009E-06
DataValue, 98, 7.896E-06
DataValue, 97, 7.7865E-06
DataValue, 96, 7.6841000000000015E-06
DataValue, 95, 7.5867000000000006E-06
DataValue, 94, 7.4977000000000011E-06
DataValue, 93, 7.4121000000000006E-06
DataValue, 92, 7.3336E-06
DataValue, 91, 7.2555000000000011E-06
DataValue, 90, 7.1761000000000006E-06
DataValue, 89, 7.1004000000000007E-06
DataValue, 88, 7.025600000000001E-06
DataValue, 87, 6.9639E-06
DataValue, 86, 6.8994E-06
DataValue, 85, 6.8379000000000011E-06
DataValue, 84, 6.7760000000000009E-06
DataValue, 83, 6.7151E-06
DataValue, 82, 6.6557000000000005E-06
DataValue, 81, 6.5961E-06
DataValue, 80, 6.5427000000000009E-06
DataValue, 79, 6.492900000000001E-06
DataValue, 78, 6.4424E-06
DataValue, 77, 6.3941E-06
DataValue, 76, 6.3426000000000009E-06
DataValue, 75, 6.2919000000000007E-06
DataValue, 74, 6.2439000000000005E-06
DataValue, 73, 6.2029E-06
DataValue, 72, 6.16E-06
DataValue, 71, 6.1245E-06
DataValue, 70, 6.0848000000000006E-06
DataValue, 69, 6.0447000000000008E-06
DataValue, 68, 6.0068000000000007E-06
DataValue, 67, 5.9663000000000008E-06
DataValue, 66, 5.937400000000001E-06
DataValue, 65, 5.9085E-06
DataValue, 64, 5.8801000000000007E-06
DataValue, 63, 5.8555000000000009E-06
DataValue, 62, 5.8259E-06
DataValue, 61, 5.8015E-06
DataValue, 60, 5.776700000000001E-06
DataValue, 59, 5.7644E-06
DataValue, 58, 5.7511000000000007E-06
DataValue, 57, 5.7429000000000005E-06
DataValue, 56, 5.7309000000000005E-06
DataValue, 55, 5.7240000000000006E-06
DataValue, 54, 5.7178000000000006E-06
DataValue, 53, 5.7249000000000009E-06
DataValue, 52, 5.7358E-06
DataValue, 51, 5.7507000000000007E-06
DataValue, 50, 5.7693000000000008E-06
DataValue, 49, 5.7926E-06
