
SetupTitle, TB_IdVg
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, Vbg
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, -100
TestParameter, Output.Graph.XAxis.Right, 100
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, false
TestParameter, Output.Graph.YAxis.Data, IDrain
TestParameter, Output.Graph.YAxis.Scale, Linear
TestParameter, Output.Graph.YAxis.Bottom, 5E-06
TestParameter, Output.Graph.YAxis.Top, 5E-05
TestParameter, Output.Graph.YAxis.Group, 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 11/05/2019 09:39:05
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 4
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 7704e07b-9f24-4974-bd77-4fb8f60cb282
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Vbg
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, false
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -100
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 100
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, IDrain
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 5.2E-06
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 4E-05
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.64080459770114928
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.64080459770114928
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.64080459770114928
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.64080459770114928
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.64080459770114928
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU2:MP, Name=Vbg, Direction=Double, Linear/Log=LINEAR, Start=-100 V, Stop=100 V, Step=1 V, No. of Steps=201, Compliance=100 uA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU1:MP, Name=Drain, Source Mode=V, Source=50 mV, Compliance=100 uA	[CONSTANTS] Unit=SMU3:MP, Name=Source, Source Mode=V, Source=0 V, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	0.5	5
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, TB_IdVg
Dimension1, 402, 402
Dimension2, 1, 1
DataName, Vbg, IDrain
DataValue, -100, 3.989E-05
DataValue, -99, 3.9588E-05
DataValue, -98, 3.9304E-05
DataValue, -97, 3.9022E-05
DataValue, -96, 3.8762E-05
DataValue, -95, 3.849E-05
DataValue, -94, 3.8232E-05
DataValue, -93, 3.7992E-05
DataValue, -92, 3.7760000000000004E-05
DataValue, -91, 3.7512E-05
DataValue, -90, 3.7268E-05
DataValue, -89, 3.7054E-05
DataValue, -88, 3.681E-05
DataValue, -87, 3.6572E-05
DataValue, -86, 3.6358E-05
DataValue, -85, 3.6116000000000005E-05
DataValue, -84, 3.588E-05
DataValue, -83, 3.5646000000000004E-05
DataValue, -82, 3.5414000000000003E-05
DataValue, -81, 3.5184E-05
DataValue, -80, 3.4938E-05
DataValue, -79, 3.4728000000000004E-05
DataValue, -78, 3.4476E-05
DataValue, -77, 3.4242E-05
DataValue, -76, 3.4016E-05
DataValue, -75, 3.3770000000000004E-05
DataValue, -74, 3.3536E-05
DataValue, -73, 3.3306E-05
DataValue, -72, 3.3066E-05
DataValue, -71, 3.2832E-05
DataValue, -70, 3.2592E-05
DataValue, -69, 3.2344E-05
DataValue, -68, 3.2094E-05
DataValue, -67, 3.186E-05
DataValue, -66, 3.1602E-05
DataValue, -65, 3.1374E-05
DataValue, -64, 3.113E-05
DataValue, -63, 3.0864E-05
DataValue, -62, 3.0616E-05
DataValue, -61, 3.0364000000000003E-05
DataValue, -60, 3.0106E-05
DataValue, -59, 2.9854000000000002E-05
DataValue, -58, 2.9596000000000003E-05
DataValue, -57, 2.9332E-05
DataValue, -56, 2.9074E-05
DataValue, -55, 2.881E-05
DataValue, -54, 2.8544E-05
DataValue, -53, 2.8272E-05
DataValue, -52, 2.7998000000000002E-05
DataValue, -51, 2.7740000000000002E-05
DataValue, -50, 2.7456E-05
DataValue, -49, 2.7188E-05
DataValue, -48, 2.6912000000000003E-05
DataValue, -47, 2.663E-05
DataValue, -46, 2.6356E-05
DataValue, -45, 2.6086E-05
DataValue, -44, 2.5804000000000002E-05
DataValue, -43, 2.5516E-05
DataValue, -42, 2.5224E-05
DataValue, -41, 2.4940000000000002E-05
DataValue, -40, 2.4644E-05
DataValue, -39, 2.4352E-05
DataValue, -38, 2.4064000000000002E-05
DataValue, -37, 2.3766000000000003E-05
DataValue, -36, 2.3468E-05
DataValue, -35, 2.317E-05
DataValue, -34, 2.287E-05
DataValue, -33, 2.2566E-05
DataValue, -32, 2.2254E-05
DataValue, -31, 2.1944000000000002E-05
DataValue, -30, 2.1628E-05
DataValue, -29, 2.1324E-05
DataValue, -28, 2.1004E-05
DataValue, -27, 2.0688E-05
DataValue, -26, 2.0364E-05
DataValue, -25, 2.0042000000000002E-05
DataValue, -24, 1.972E-05
DataValue, -23, 1.9398E-05
DataValue, -22, 1.9078E-05
DataValue, -21, 1.8748E-05
DataValue, -20, 1.841E-05
DataValue, -19, 1.808E-05
DataValue, -18, 1.7738000000000002E-05
DataValue, -17, 1.7398000000000002E-05
DataValue, -16, 1.7058E-05
DataValue, -15, 1.6714E-05
DataValue, -14, 1.637E-05
DataValue, -13, 1.603E-05
DataValue, -12, 1.5678E-05
DataValue, -11, 1.5338E-05
DataValue, -10, 1.4982E-05
DataValue, -9, 1.463E-05
DataValue, -8, 1.4274000000000001E-05
DataValue, -7, 1.392E-05
DataValue, -6, 1.3554000000000001E-05
DataValue, -5, 1.3202E-05
DataValue, -4, 1.284E-05
DataValue, -3, 1.248E-05
DataValue, -2, 1.2114000000000001E-05
DataValue, -1, 1.1760000000000001E-05
DataValue, 0, 1.1384E-05
DataValue, 1, 1.1018E-05
DataValue, 2, 1.0648E-05
DataValue, 3, 1.0276E-05
DataValue, 4, 9.9335E-06
DataValue, 5, 9.5700000000000015E-06
DataValue, 6, 9.2141E-06
DataValue, 7, 8.8687E-06
DataValue, 8, 8.5356E-06
DataValue, 9, 8.2078000000000013E-06
DataValue, 10, 7.8873000000000015E-06
DataValue, 11, 7.5786000000000006E-06
DataValue, 12, 7.2858000000000006E-06
DataValue, 13, 7.0071000000000011E-06
DataValue, 14, 6.7578000000000008E-06
DataValue, 15, 6.527700000000001E-06
DataValue, 16, 6.3197000000000007E-06
DataValue, 17, 6.1318E-06
DataValue, 18, 5.9603E-06
DataValue, 19, 5.8149000000000009E-06
DataValue, 20, 5.6861000000000005E-06
DataValue, 21, 5.5841000000000005E-06
DataValue, 22, 5.5009E-06
DataValue, 23, 5.438E-06
DataValue, 24, 5.3852000000000005E-06
DataValue, 25, 5.343E-06
DataValue, 26, 5.3160000000000004E-06
DataValue, 27, 5.2980000000000008E-06
DataValue, 28, 5.2951E-06
DataValue, 29, 5.2999000000000007E-06
DataValue, 30, 5.3143000000000009E-06
DataValue, 31, 5.3301000000000009E-06
DataValue, 32, 5.3497000000000006E-06
DataValue, 33, 5.3751000000000004E-06
DataValue, 34, 5.4029E-06
DataValue, 35, 5.4390000000000008E-06
DataValue, 36, 5.4776000000000007E-06
DataValue, 37, 5.5197000000000007E-06
DataValue, 38, 5.5571000000000005E-06
DataValue, 39, 5.6001000000000008E-06
DataValue, 40, 5.6435E-06
DataValue, 41, 5.6842000000000006E-06
DataValue, 42, 5.7331E-06
DataValue, 43, 5.7823000000000005E-06
DataValue, 44, 5.8315000000000008E-06
DataValue, 45, 5.8770000000000007E-06
DataValue, 46, 5.9230000000000007E-06
DataValue, 47, 5.9692E-06
DataValue, 48, 6.010800000000001E-06
DataValue, 49, 6.0585000000000005E-06
DataValue, 50, 6.1083000000000005E-06
DataValue, 51, 6.1586000000000006E-06
DataValue, 52, 6.2083E-06
DataValue, 53, 6.2524000000000005E-06
DataValue, 54, 6.2978000000000009E-06
DataValue, 55, 6.3398000000000007E-06
DataValue, 56, 6.3892000000000006E-06
DataValue, 57, 6.4377000000000011E-06
DataValue, 58, 6.4859000000000009E-06
DataValue, 59, 6.5307000000000008E-06
DataValue, 60, 6.5730000000000004E-06
DataValue, 61, 6.6158E-06
DataValue, 62, 6.6554000000000007E-06
DataValue, 63, 6.6982000000000005E-06
DataValue, 64, 6.7447000000000008E-06
DataValue, 65, 6.7882000000000005E-06
DataValue, 66, 6.8352000000000011E-06
DataValue, 67, 6.8767000000000006E-06
DataValue, 68, 6.9126000000000005E-06
DataValue, 69, 6.9510000000000009E-06
DataValue, 70, 6.9891000000000006E-06
DataValue, 71, 7.0340000000000008E-06
DataValue, 72, 7.0742000000000008E-06
DataValue, 73, 7.1207000000000011E-06
DataValue, 74, 7.1551E-06
DataValue, 75, 7.1938000000000005E-06
DataValue, 76, 7.2304000000000011E-06
DataValue, 77, 7.2674000000000009E-06
DataValue, 78, 7.3082000000000006E-06
DataValue, 79, 7.3423000000000008E-06
DataValue, 80, 7.386400000000001E-06
DataValue, 81, 7.4196000000000009E-06
DataValue, 82, 7.4546000000000006E-06
DataValue, 83, 7.4866000000000005E-06
DataValue, 84, 7.5196000000000008E-06
DataValue, 85, 7.5590000000000008E-06
DataValue, 86, 7.5921000000000005E-06
DataValue, 87, 7.6284000000000005E-06
DataValue, 88, 7.6593000000000014E-06
DataValue, 89, 7.6875E-06
DataValue, 90, 7.7158000000000016E-06
DataValue, 91, 7.7452E-06
DataValue, 92, 7.7809E-06
DataValue, 93, 7.8099000000000012E-06
DataValue, 94, 7.8449E-06
DataValue, 95, 7.8737E-06
DataValue, 96, 7.8979000000000011E-06
DataValue, 97, 7.9269E-06
DataValue, 98, 7.9471E-06
DataValue, 99, 7.9829000000000011E-06
DataValue, 100, 8.0106000000000009E-06
DataValue, 100, 7.9685E-06
DataValue, 99, 7.8341E-06
DataValue, 98, 7.7182E-06
DataValue, 97, 7.609700000000001E-06
DataValue, 96, 7.5114000000000006E-06
DataValue, 95, 7.4215000000000009E-06
DataValue, 94, 7.3365000000000008E-06
DataValue, 93, 7.2556000000000005E-06
DataValue, 92, 7.1748E-06
DataValue, 91, 7.097100000000001E-06
DataValue, 90, 7.0221000000000009E-06
DataValue, 89, 6.9540000000000007E-06
DataValue, 88, 6.8895000000000007E-06
DataValue, 87, 6.825500000000001E-06
DataValue, 86, 6.7621000000000009E-06
DataValue, 85, 6.6994000000000006E-06
DataValue, 84, 6.6385000000000009E-06
DataValue, 83, 6.5788000000000004E-06
DataValue, 82, 6.5250000000000011E-06
DataValue, 81, 6.4719000000000007E-06
DataValue, 80, 6.4202000000000008E-06
DataValue, 79, 6.3714000000000005E-06
DataValue, 78, 6.3197000000000007E-06
DataValue, 77, 6.270400000000001E-06
DataValue, 76, 6.222100000000001E-06
DataValue, 75, 6.1790000000000005E-06
DataValue, 74, 6.1371000000000009E-06
DataValue, 73, 6.0992000000000008E-06
DataValue, 72, 6.0599E-06
DataValue, 71, 6.0198E-06
DataValue, 70, 5.9810000000000008E-06
DataValue, 69, 5.9414E-06
DataValue, 68, 5.9103000000000008E-06
DataValue, 67, 5.881000000000001E-06
DataValue, 66, 5.8543000000000009E-06
DataValue, 65, 5.8294000000000005E-06
DataValue, 64, 5.8021000000000007E-06
DataValue, 63, 5.7773000000000006E-06
DataValue, 62, 5.7526000000000006E-06
DataValue, 61, 5.7378E-06
DataValue, 60, 5.7249000000000009E-06
DataValue, 59, 5.7161E-06
DataValue, 58, 5.7104E-06
DataValue, 57, 5.7029000000000009E-06
DataValue, 56, 5.700600000000001E-06
DataValue, 55, 5.7001000000000007E-06
DataValue, 54, 5.712200000000001E-06
DataValue, 53, 5.7264000000000008E-06
DataValue, 52, 5.7493E-06
DataValue, 51, 5.7712000000000008E-06
DataValue, 50, 5.7973E-06
